Current Time,Relative Time,Button Pushed,Zig ID,Zig X,Zig Y,Zig Z,Zig Qw,Zig Qx,Zig Qy,Zig Qz,P1 ID,P1 X,P1 Y,P1 Z,P1 Qw,P1 Qx,P1 Qy,P1 Qz,P2 ID,P2 X,P2 Y,P2 Z,P2 Qw,P2 Qx,P2 Qy,P2 Qz,Zig 1 ID,Zig 1 X,Zig 1 Y,Zig 1 Z,Zig 1 Yaw,Zig 1 Pitch,Zig 1 Distance,Zig 2 ID,Zig 2 X,Zig 2 Y,Zig 2 Z,Zig 2 Yaw,Zig 2 Pitch,Zig 2 Distance
2558.127633,0.0,False,0,0.999813,0.001583,0.005417,0.018494,-0.098199,-0.073795,0.104858,1,-0.994583,-0.102056,0.004299,-0.019247,0.351775,1.598582,0.077474,2,-0.998677,0.026422,-0.036592,0.024657,-0.580013,1.792313,0.040806,0,-0.495996356010437,1.7535024881362915,-0.2629367709159851,-15.794105605682406,-8.21044429600787,1.8411732961824974,1,0.4437028467655182,1.680301547050476,-0.21960625052452087,14.791968474703516,-7.20190873679997,1.7517169892758038
2558.208741999,0.08110899899975266,False,0,0.999813,0.001596,0.005372,0.018484,-0.098199,-0.073794,0.104864,1,-0.994393,-0.104144,0.005131,-0.017618,0.351404,1.597542,0.077251,2,-0.998723,0.026454,-0.036100,0.023438,-0.579509,1.792897,0.040784,0,-0.4948369860649109,1.7306790351867676,-0.25782597064971924,-15.956330153857012,-8.151269581272347,1.8184025398008756,1,0.4375830888748169,1.667191743850708,-0.21548773348331451,14.706543802736158,-7.126001745248527,1.7370786492600059
2558.281993999,0.1543609989998913,False,0,0.999813,0.001574,0.005413,0.018499,-0.098197,-0.073795,0.104862,1,-0.994305,-0.105007,0.005679,-0.017292,0.351244,1.597138,0.077175,2,-0.998734,0.026510,-0.035962,0.023141,-0.579311,1.793082,0.040780,0,-0.4948369860649109,1.7306790351867676,-0.25782597064971924,-15.956330153857012,-8.151269581272347,1.8184025398008756,1,0.4375830888748169,1.667191743850708,-0.21548773348331451,14.706543802736158,-7.126001745248527,1.7370786492600059
2558.311597999,0.18396499899972696,False,0,0.999813,0.001580,0.005413,0.018522,-0.098197,-0.073797,0.104863,1,-0.994114,-0.106901,0.006994,-0.016164,0.350848,1.596298,0.077053,2,-0.998743,0.026735,-0.035890,0.022573,-0.578870,1.793446,0.040747,0,-0.4926701486110687,1.7337255477905273,-0.2587248682975769,-15.863478598446262,-8.16884766222352,1.8208423072494815,1,0.43897247314453125,1.6752314567565918,-0.2224934995174408,14.683478370032473,-7.32102860104935,1.7460242332834204
2558.428422999,0.30078999899978953,False,0,0.999813,0.001599,0.005396,0.018477,-0.098199,-0.073797,0.104861,1,-0.993929,-0.108640,0.008151,-0.015345,0.350361,1.595480,0.076968,2,-0.998736,0.027123,-0.036219,0.021875,-0.578334,1.793858,0.040674,0,-0.48622652888298035,1.7357746362686157,-0.25717025995254517,-15.648662846972712,-8.119431410915015,1.8208422138963871,1,0.44120508432388306,1.6782784461975098,-0.22385954856872559,14.729285443569255,-7.350733956902922,1.749683847696425
2558.509579999,0.3819469989998652,False,0,0.999813,0.001604,0.005402,0.018524,-0.098197,-0.073794,0.104861,1,-0.993657,-0.111116,0.011313,-0.013077,0.349462,1.594064,0.076858,2,-0.998680,0.028184,-0.037733,0.020507,-0.577149,1.794527,0.040475,0,-0.4890938997268677,1.7367382049560547,-0.2624594271183014,-15.728088404557083,-8.276416535348034,1.823282036928813,1,0.435526579618454,1.6688371896743774,-0.2199878692626953,14.626587566637934,-7.268771310684637,1.7387051589666271
2558.596598,0.4689650000000256,False,0,0.999812,0.001624,0.005435,0.018536,-0.098196,-0.073797,0.104864,1,-0.993571,-0.111881,0.012605,-0.011842,0.349091,1.593575,0.076812,2,-0.998649,0.028846,-0.038430,0.019760,-0.576565,1.794808,0.040340,0,-0.4890938997268677,1.7367382049560547,-0.2624594271183014,-15.728088404557083,-8.276416535348034,1.823282036928813,1,0.435526579618454,1.6688371896743774,-0.2199878692626953,14.626587566637934,-7.268771310684637,1.7387051589666271
2558.66867,0.5410369999999602,False,0,0.999813,0.001597,0.005394,0.018491,-0.098204,-0.073792,0.104856,1,-0.993556,-0.112034,0.013142,-0.011061,0.348927,1.593368,0.076789,2,-0.998631,0.029241,-0.038761,0.019449,-0.576281,1.794907,0.040258,0,-0.4868948459625244,1.7326507568359375,-0.26533180475234985,-15.69597546125834,-8.38647770588228,1.8192158208420892,1,0.4431765675544739,1.6704398393630981,-0.22467201948165894,14.85857121979086,-7.406986384899189,1.742771426004783
2558.748767999,0.621134998999878,False,0,0.999813,0.001594,0.005405,0.018500,-0.098197,-0.073794,0.104865,1,-0.993548,-0.112143,0.014740,-0.008336,0.348592,1.592889,0.076744,2,-0.998593,0.030423,-0.039334,0.018423,-0.575465,1.795103,0.040116,0,-0.4828026592731476,1.7296885251998901,-0.26428675651550293,-15.595849776549398,-8.372056213004804,1.815149660958809,1,0.43959733843803406,1.6660076379776,-0.22048860788345337,14.781325295111218,-7.292264619301274,1.737078724746777
2558.821226999,0.6935939989998587,False,0,0.999813,0.001595,0.005398,0.018483,-0.098198,-0.073790,0.104859,1,-0.993565,-0.112008,0.015346,-0.006807,0.348490,1.592689,0.076721,2,-0.998567,0.030694,-0.040107,0.017720,-0.574978,1.795072,0.040190,0,-0.4799644649028778,1.7313627004623413,-0.275042325258255,-15.494317754728499,-8.703580373150338,1.8175893289753944,1,0.4377650320529938,1.6681911945343018,-0.22044382989406586,14.703960969896912,-7.283918701548213,1.738705140887466
