Current Time,Relative Time,Button Pushed,Zig ID,Zig X,Zig Y,Zig Z,Zig Qw,Zig Qx,Zig Qy,Zig Qz,P1 ID,P1 X,P1 Y,P1 Z,P1 Qw,P1 Qx,P1 Qy,P1 Qz,P2 ID,P2 X,P2 Y,P2 Z,P2 Qw,P2 Qx,P2 Qy,P2 Qz,Zig 1 ID,Zig 1 X,Zig 1 Y,Zig 1 Z,Zig 1 Yaw,Zig 1 Pitch,Zig 1 Distance,Zig 2 ID,Zig 2 X,Zig 2 Y,Zig 2 Z,Zig 2 Yaw,Zig 2 Pitch,Zig 2 Distance
4291.459356,0.0,False,0,0.999814,0.001644,0.005345,0.018464,-0.098271,-0.073857,0.104796,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999434,0.031702,-0.001232,-0.011185,-0.594357,1.512325,0.049662,1,0.410329133272171,1.2696611881256104,-0.13399627804756165,17.90979627888411,-5.7345828933551894,1.3410311453411614,3,-0.42820098996162415,1.3611146211624146,-0.18340760469436646,-17.463358238833738,-7.324490395494698,1.438619980817013
4291.962964999,0.50360899899988,False,0,0.999814,0.001666,0.005341,0.018455,-0.098266,-0.073851,0.104802,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999424,0.031968,-0.001299,-0.011303,-0.594424,1.512218,0.049679,1,0.4079027771949768,1.26941978931427,-0.1355467438697815,17.813774660732076,-5.804695846196697,1.3402179661979468,3,-0.4253101050853729,1.3628872632980347,-0.18335141241550446,-17.331342050654996,-7.318074299762346,1.4394332629137405
4292.478057999,1.018701998999859,False,0,0.999814,0.001684,0.005348,0.018464,-0.098270,-0.073850,0.104804,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999416,0.032186,-0.001521,-0.011396,-0.594522,1.512134,0.049702,1,0.40279728174209595,1.2699036598205566,-0.13821834325790405,17.598364847997527,-5.923116632038981,1.3394048177520586,3,-0.4262509346008301,1.3603593111038208,-0.18713834881782532,-17.397705305742527,-7.478574146672765,1.437806689424279
4293.052442999,1.5930869989997518,False,0,0.999814,0.001685,0.005327,0.018442,-0.098270,-0.073852,0.104801,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999407,0.032432,-0.001691,-0.011486,-0.594635,1.512059,0.049709,1,0.4079873561859131,1.2603740692138672,-0.13948364555835724,17.936942888334297,-6.010500103112058,1.3320856445936735,3,-0.428108274936676,1.3449079990386963,-0.17618197202682495,-17.657203485280235,-7.115294671742322,1.422355197626383
4293.56346,2.1041040000000066,False,0,0.999813,0.001679,0.005366,0.018484,-0.098270,-0.073856,0.104803,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999397,0.032646,-0.001906,-0.011702,-0.594730,1.512012,0.049721,1,0.40321338176727295,1.2647932767868042,-0.13665640354156494,17.68216986816217,-5.8774332697167395,1.3345253976115319,3,-0.4282045364379883,1.371549367904663,-0.18881455063819885,-17.338623554656465,-7.4863232107802595,1.4491920949820483
4294.071092999,2.6117369989997314,False,0,0.999814,0.001668,0.005371,0.018448,-0.098270,-0.073852,0.104803,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999393,0.032633,-0.001964,-0.012046,-0.594756,1.512060,0.049679,1,0.4002680480480194,1.2478901147842407,-0.14271190762519836,17.783947036478406,-6.214891522291328,1.3182605726647596,3,-0.4268663227558136,1.3561862707138062,-0.1783939003944397,-17.471652757067723,-7.151659101606796,1.4329272284640393
4294.656866,3.1975099999999657,False,0,0.999814,0.001672,0.005354,0.018456,-0.098270,-0.073855,0.104801,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999403,0.032366,-0.001658,-0.011989,-0.594742,1.512192,0.049583,1,0.39700424671173096,1.2344388961791992,-0.14177465438842773,17.82815670151746,-6.239609429662496,1.3044354383924974,3,-0.4271707236766815,1.3682446479797363,-0.18707175552845,-17.338544847518225,-7.435715674139944,1.4455324574730752
4295.176322999,3.716966998999851,False,0,0.999814,0.001673,0.005365,0.018451,-0.098274,-0.073854,0.104799,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999432,0.031491,-0.001893,-0.011821,-0.594898,1.512437,0.049464,1,0.38956543803215027,1.2508251667022705,-0.15372344851493835,17.299030524128103,-6.69239603569933,1.3190738140029423,3,-0.41898292303085327,1.3532048463821411,-0.18058396875858307,-17.203711124280876,-7.264795236780823,1.4280478338753897
4295.752927999,4.293571999000051,False,0,0.999814,0.001703,0.005343,0.018442,-0.098265,-0.073851,0.104802,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999439,0.031321,-0.002126,-0.011649,-0.595089,1.512552,0.049407,1,0.4083206355571747,1.2496130466461182,-0.14980362355709076,18.095200099576193,-6.500867994378015,1.3231400656774184,3,-0.4293023645877838,1.3703385591506958,-0.18887276947498322,-17.39483308747857,-7.492873816502479,1.4483788212981497
4296.277296999,4.817940998999802,False,0,0.999814,0.001679,0.005364,0.018469,-0.098270,-0.073846,0.104803,1,0.126480,0.007056,0.105409,0.986328,-0.602424,1.514384,0.067562,2,0.999426,0.031658,-0.002379,-0.011819,-0.595224,1.512532,0.049418,1,0.4120917022228241,1.2589397430419922,-0.14788682758808136,18.124945731927866,-6.37015529833487,1.3328988564124469,3,-0.42784884572029114,1.3543946743011475,-0.1830599159002304,-17.53115616009997,-7.3439231502281075,1.432113997337117
